Event Date,Event Time,Timezone,Fleet,Sponsoring Club,Series,Event,Race Type,Location,Website Link
2026-05-17,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Performance,Performance Series - Race 1 (Olympic),Buoy,Chicago IL USA,https://morfracing.net/wpmocha/
2026-05-23,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Performance,Performance Series - Race 2 (Btrap) Weathermark Regatta,Buoy,Chicago IL USA,https://morfracing.net/wpmocha/
2026-05-23,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Performance,Performance Series - Race 3 (W-L) Weathermark Regatta,Buoy,Chicago IL USA,https://morfracing.net/wpmocha/
2026-05-30,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Performance,Performance Series - Race 4 (Trapezoid),Buoy,Chicago IL USA,https://morfracing.net/wpmocha/
2026-05-31,10:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Long Distance,Long Distance Series - Race 1 (Zimmer),Distance (nearshore),Chicago IL USA,https://morfracing.net/wpmocha/
2026-05-31,10:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Open Long Distance Race,Open Long Distance Race - (Zimmer),,Chicago IL USA,https://morfracing.net/wpmocha/
2026-06-07,10:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Long Distance,Long Distance Series - Race 2 (Skippers Club),Distance (nearshore),Chicago IL USA,https://morfracing.net/wpmocha/
2026-06-07,10:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Open Long Distance Race,Open Long Distance Race - (Skippers Club),,Chicago IL USA,https://morfracing.net/wpmocha/
2026-06-13,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Performance,Performance Series - Race 5 (Btrap) Crowleys Regatta,Buoy,Chicago IL USA,https://morfracing.net/wpmocha/
2026-06-13,,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Performance,Performance Series - Race 6 (W-L)  Crowleys Regatta,Buoy,Chicago IL USA,https://morfracing.net/wpmocha/
2026-06-14,11:00,America/Chicago,MORF,Midwest Open Racing Fleet,MORF Treasure Island Marine Services Lady Skipper,Treasure Island Marine Services Lady Skipper Series - Race 1 (Btrap),Buoy,Chicago IL USA,https://morfracing.net/wpmocha/
